"National Life Tables, England, period expectation of life, based on data for the years 2017-2019",,,,,,,,,,,,
"This worksheet contains two tables, presented horizontally with one blank column in between the tables.",,,,,,,,,,,,
"This worksheet uses notation in the column headers, please see the notation worksheet for explanations.",,,,,,,,,,,,
Back to contents,,,,,,,,,,,,
"National life tables, Males",,,,,,,"National life tables, Females",,,,,
age,mx,qx,lx,dx,ex,,age,mx,qx,lx,dx,ex
0,0.004342,0.004333,100000.0,433.3,79.59,,0,0.003582,0.003576,100000.0,357.6,83.28
1,0.000247,0.000247,99566.7,24.6,78.93,,1,0.000217,0.000217,99642.4,21.6,82.58
2,0.000136,0.000136,99542.1,13.5,77.95,,2,0.000128,0.000128,99620.8,12.8,81.60
3,0.000105,0.000105,99528.6,10.5,76.96,,3,0.000102,0.000102,99608.0,10.1,80.61
4,0.000098,0.000098,99518.1,9.7,75.97,,4,0.000067,0.000067,99597.9,6.7,79.61
5,0.000093,0.000093,99508.4,9.3,74.98,,5,0.000089,0.000089,99591.2,8.8,78.62
6,0.000086,0.000086,99499.1,8.5,73.99,,6,0.000081,0.000081,99582.4,8.1,77.63
7,0.000075,0.000075,99490.6,7.5,72.99,,7,0.000062,0.000062,99574.2,6.2,76.63
8,0.000065,0.000065,99483.1,6.5,72.00,,8,0.000065,0.000065,99568.0,6.5,75.64
9,0.000063,0.000063,99476.6,6.3,71.00,,9,0.000057,0.000057,99561.6,5.7,74.64
10,0.000073,0.000073,99470.3,7.3,70.01,,10,0.000065,0.000065,99555.9,6.5,73.65
11,0.000082,0.000082,99463.0,8.2,69.01,,11,0.000063,0.000063,99549.4,6.3,72.65
12,0.000106,0.000106,99454.8,10.5,68.02,,12,0.000057,0.000057,99543.2,5.7,71.66
13,0.000125,0.000125,99444.3,12.4,67.03,,13,0.000080,0.000080,99537.5,7.9,70.66
14,0.000114,0.000114,99431.9,11.3,66.03,,14,0.000091,0.000091,99529.5,9.1,69.67
15,0.000167,0.000167,99420.5,16.6,65.04,,15,0.000097,0.000097,99520.5,9.7,68.67
16,0.000219,0.000219,99403.9,21.8,64.05,,16,0.000147,0.000147,99510.8,14.6,67.68
17,0.000306,0.000306,99382.1,30.4,63.07,,17,0.000159,0.000159,99496.2,15.8,66.69
18,0.000391,0.000390,99351.7,38.8,62.09,,18,0.000210,0.000210,99480.4,20.9,65.70
19,0.000415,0.000415,99312.9,41.2,61.11,,19,0.000190,0.000190,99459.6,18.9,64.71
20,0.000503,0.000503,99271.7,49.9,60.13,,20,0.000174,0.000174,99440.7,17.3,63.73
21,0.000501,0.000501,99221.8,49.7,59.16,,21,0.000194,0.000194,99423.3,19.3,62.74
22,0.000484,0.000484,99172.1,48.0,58.19,,22,0.000205,0.000205,99404.0,20.4,61.75
23,0.000478,0.000478,99124.0,47.4,57.22,,23,0.000188,0.000188,99383.7,18.7,60.76
24,0.000530,0.000529,99076.7,52.5,56.25,,24,0.000209,0.000209,99364.9,20.8,59.77
25,0.000564,0.000563,99024.2,55.8,55.28,,25,0.000238,0.000238,99344.1,23.6,58.78
26,0.000572,0.000572,98968.4,56.6,54.31,,26,0.000253,0.000253,99320.5,25.1,57.80
27,0.000604,0.000604,98911.8,59.7,53.34,,27,0.000263,0.000263,99295.4,26.1,56.81
28,0.000658,0.000658,98852.0,65.0,52.37,,28,0.000294,0.000294,99269.2,29.2,55.83
29,0.000687,0.000687,98787.0,67.8,51.41,,29,0.000290,0.000290,99240.0,28.8,54.84
30,0.000725,0.000724,98719.2,71.5,50.44,,30,0.000343,0.000343,99211.2,34.0,53.86
31,0.000780,0.000779,98647.7,76.9,49.48,,31,0.000353,0.000353,99177.3,35.0,52.88
32,0.000760,0.000760,98570.8,74.9,48.52,,32,0.000418,0.000417,99142.3,41.4,51.90
33,0.000868,0.000867,98495.9,85.4,47.55,,33,0.000435,0.000435,99100.9,43.1,50.92
34,0.000896,0.000896,98410.4,88.1,46.59,,34,0.000509,0.000509,99057.8,50.4,49.94
35,0.000968,0.000968,98322.3,95.1,45.63,,35,0.000541,0.000540,99007.4,53.5,48.97
36,0.001050,0.001049,98227.2,103.1,44.68,,36,0.000570,0.000570,98953.9,56.4,47.99
37,0.001207,0.001206,98124.1,118.3,43.72,,37,0.000730,0.000730,98897.4,72.2,47.02
38,0.001171,0.001170,98005.8,114.7,42.78,,38,0.000686,0.000685,98825.2,67.7,46.05
39,0.001281,0.001280,97891.1,125.3,41.83,,39,0.000752,0.000752,98757.5,74.2,45.08
40,0.001421,0.001420,97765.8,138.8,40.88,,40,0.000810,0.000810,98683.3,79.9,44.12
41,0.001522,0.001521,97627.0,148.4,39.94,,41,0.000897,0.000896,98603.3,88.4,43.15
42,0.001661,0.001659,97478.6,161.7,39.00,,42,0.001009,0.001008,98515.0,99.3,42.19
43,0.001831,0.001829,97316.8,178.0,38.06,,43,0.001078,0.001078,98415.6,106.1,41.23
44,0.001942,0.001940,97138.8,188.4,37.13,,44,0.001239,0.001238,98309.6,121.7,40.28
45,0.002207,0.002205,96950.4,213.8,36.20,,45,0.001341,0.001340,98187.9,131.6,39.33
46,0.002287,0.002285,96736.6,221.0,35.28,,46,0.001473,0.001472,98056.3,144.4,38.38
47,0.002549,0.002546,96515.6,245.7,34.36,,47,0.001595,0.001594,97911.9,156.1,37.43
48,0.002686,0.002682,96269.9,258.2,33.45,,48,0.001745,0.001744,97755.8,170.4,36.49
49,0.003009,0.003005,96011.7,288.5,32.53,,49,0.001872,0.001870,97585.4,182.5,35.56
50,0.003205,0.003199,95723.2,306.3,31.63,,50,0.002065,0.002063,97402.9,201.0,34.62
51,0.003467,0.003461,95416.9,330.3,30.73,,51,0.002256,0.002253,97201.9,219.0,33.69
52,0.003735,0.003728,95086.7,354.5,29.84,,52,0.002462,0.002459,96982.9,238.5,32.77
53,0.004005,0.003997,94732.2,378.6,28.95,,53,0.002579,0.002576,96744.5,249.2,31.85
54,0.004306,0.004296,94353.6,405.4,28.06,,54,0.002764,0.002760,96495.3,266.3,30.93
55,0.004646,0.004635,93948.2,435.5,27.18,,55,0.003079,0.003074,96229.0,295.9,30.01
56,0.005180,0.005166,93512.7,483.1,26.30,,56,0.003392,0.003386,95933.1,324.8,29.10
57,0.005676,0.005660,93029.6,526.5,25.44,,57,0.003682,0.003676,95608.3,351.4,28.20
58,0.006178,0.006159,92503.1,569.8,24.58,,58,0.004083,0.004074,95256.9,388.1,27.30
59,0.006699,0.006677,91933.3,613.8,23.73,,59,0.004412,0.004403,94868.8,417.7,26.41
60,0.007407,0.007379,91319.5,673.9,22.88,,60,0.004872,0.004860,94451.1,459.0,25.53
61,0.008063,0.008030,90645.6,727.9,22.05,,61,0.005331,0.005317,93992.1,499.8,24.65
62,0.009031,0.008990,89917.7,808.4,21.22,,62,0.006142,0.006123,93492.3,572.5,23.78
63,0.009971,0.009921,89109.4,884.1,20.41,,63,0.006533,0.006511,92919.8,605.0,22.92
64,0.010796,0.010738,88225.3,947.3,19.61,,64,0.007077,0.007052,92314.8,651.0,22.07
65,0.011939,0.011868,87277.9,1035.8,18.82,,65,0.007774,0.007744,91663.8,709.9,21.22
66,0.013066,0.012981,86242.1,1119.5,18.04,,66,0.008359,0.008324,90953.9,757.1,20.38
67,0.014249,0.014148,85122.6,1204.4,17.27,,67,0.009141,0.009099,90196.8,820.7,19.55
68,0.015614,0.015493,83918.2,1300.1,16.51,,68,0.010182,0.010130,89376.1,905.4,18.73
69,0.017151,0.017005,82618.1,1404.9,15.76,,69,0.010979,0.010919,88470.7,966.0,17.91
70,0.018122,0.017959,81213.2,1458.5,15.03,,70,0.012116,0.012043,87504.8,1053.9,17.10
71,0.020196,0.019994,79754.6,1594.6,14.29,,71,0.013055,0.012970,86450.9,1121.3,16.31
72,0.022066,0.021825,78160.0,1705.8,13.57,,72,0.014984,0.014872,85329.6,1269.0,15.51
73,0.025517,0.025195,76454.2,1926.3,12.87,,73,0.017169,0.017023,84060.6,1431.0,14.74
74,0.027780,0.027399,74527.9,2042.0,12.19,,74,0.018809,0.018633,82629.6,1539.7,13.99
75,0.031068,0.030593,72485.9,2217.5,11.51,,75,0.021054,0.020834,81089.9,1689.4,13.24
76,0.035175,0.034567,70268.3,2429.0,10.86,,76,0.023778,0.023499,79400.5,1865.8,12.51
77,0.038957,0.038212,67839.3,2592.3,10.23,,77,0.026967,0.026609,77534.7,2063.1,11.80
78,0.043922,0.042978,65247.1,2804.2,9.62,,78,0.030572,0.030112,75471.6,2272.6,11.11
79,0.048537,0.047387,62442.8,2959.0,9.03,,79,0.034379,0.033799,73199.0,2474.0,10.44
80,0.054886,0.053420,59483.9,3177.6,8.45,,80,0.038598,0.037867,70725.0,2678.2,9.79
81,0.061358,0.059532,56306.2,3352.0,7.90,,81,0.043570,0.042641,68046.8,2901.6,9.16
82,0.068144,0.065899,52954.2,3489.6,7.37,,82,0.049488,0.048293,65145.2,3146.0,8.54
83,0.077254,0.074381,49464.6,3679.2,6.86,,83,0.057353,0.055755,61999.2,3456.7,7.95
84,0.088124,0.084405,45785.4,3864.5,6.37,,84,0.065170,0.063113,58542.5,3694.8,7.39
85,0.098792,0.094142,41920.8,3946.5,5.91,,85,0.074741,0.072048,54847.7,3951.7,6.85
86,0.112713,0.106700,37974.3,4051.9,5.47,,86,0.086074,0.082522,50896.0,4200.1,6.35
87,0.127147,0.119547,33922.5,4055.3,5.06,,87,0.097858,0.093293,46695.9,4356.4,5.87
88,0.144983,0.135184,29867.2,4037.5,4.68,,88,0.112977,0.106936,42339.5,4527.6,5.42
89,0.164398,0.151911,25829.6,3923.8,4.34,,89,0.126695,0.119147,37811.9,4505.2,5.01
90,0.177146,0.162733,21905.8,3564.8,4.02,,90,0.143053,0.133504,33306.7,4446.6,4.63
91,0.200791,0.182472,18341.0,3346.7,3.71,,91,0.162215,0.150045,28860.1,4330.3,4.26
92,0.223273,0.200851,14994.3,3011.6,3.43,,92,0.183477,0.168060,24529.8,4122.5,3.92
93,0.248360,0.220926,11982.7,2647.3,3.16,,93,0.205376,0.186251,20407.3,3800.9,3.62
94,0.276893,0.243220,9335.4,2270.6,2.92,,94,0.231496,0.207480,16606.5,3445.5,3.33
95,0.310055,0.268439,7064.8,1896.5,2.69,,95,0.260619,0.230573,13160.9,3034.6,3.07
96,0.348059,0.296466,5168.4,1532.2,2.50,,96,0.290472,0.253635,10126.4,2568.4,2.84
97,0.368759,0.311352,3636.1,1132.1,2.34,,97,0.312694,0.270415,7558.0,2043.8,2.64
98,0.394872,0.329765,2504.0,825.7,2.17,,98,0.349093,0.297215,5514.2,1638.9,2.43
99,0.459315,0.373531,1678.3,626.9,1.99,,99,0.379893,0.319252,3875.3,1237.2,2.25
100,0.49375,0.39599,1051.4,416.3,1.87,,100,0.431657,0.355031,2638.1,936.6,2.06